city,iso3,country,longitude,latitude,mean_ci_activation,min_ci_activation,max_ci_activation
Singapore,SGP,Singapore,103.82766723632812,1.3348388671875,0.8165977608323072,0.8120547735441218,0.8200852938332786
Moscow,RUS,Russia,37.51968383789063,55.733642578125,0.8087726310059575,0.8040557386182005,0.811792669370805
Rome,ITA,Italy,12.2552490234375,41.9952392578125,0.8071210467991244,0.802783186851557,0.8097227482261822
SanPaulo,BRA,Brazil,-46.63421630859375,-23.63021850585937,0.807090054200446,0.8051900471423834,0.8083518144470625
St.Petersburg,RUS,Russia,30.09979248046875,59.937286376953125,0.8065204874000039,0.8005666971750212,0.8112570377438859
KualaLumpur,MYS,Malaysia,101.6839599609375,3.1256103515625,0.8060844823652014,0.802631659470708,0.8090143932210406
Johannesburg,ZAF,South Africa,27.9876708984375,-26.231231689453125,0.8055529140444518,0.8006553092439226,0.8099695805523314
Prague,CZE,Czechia,14.497833251953123,50.06195068359375,0.8055240548899169,0.8010632614621506,0.809331158956163
Shenzhen,CHN,China,114.13009643554688,22.64556884765625,0.8051191925914126,0.8011455922329389,0.8075952955785962
Mexico,MEX,Mexico,-99.2010498046875,19.3743896484375,0.8007796802067909,0.7973549779057094,0.804736322597402
Narobi,KEN,Kenya,36.88247680664063,-1.267547607421875,0.7997141162558522,0.7947541508168665,0.803706138185171
Toulouse,FRA,France,1.44744873046875,43.62396240234375,0.7982950630956561,0.7937718790118538,0.8025370345822265
Tokyo,JPN,Japan,139.46868896484375,35.67535400390625,0.7979391327874025,0.7929573841777202,0.8029140101483416
Lima,PER,Peru,-76.96746826171875,-12.039642333984377,0.7973597048209656,0.7948929342124088,0.798997539631315
RiodeJaneiro,BRA,Brazil,-43.43994140625,-22.910614013671875,0.7964577925989844,0.7931148536365362,0.7998534283850356
HoChiMinhCity,VNM,Vietnam,106.6827392578125,10.765228271484377,0.7964131219339924,0.7939639943637862,0.7986015406206909
Milano,ITA,Italy,9.125518798828123,45.45455932617188,0.7961037324492856,0.7938301012717822,0.7984808217542934
Warsaw,POL,Poland,21.07040405273437,52.23175048828125,0.795874428870112,0.7926129697276854,0.7992329248599583
Capetown,ZAF,South Africa,18.60809326171875,-33.855743408203125,0.7948052935275953,0.7707917643182841,0.8097872056044116
Rotterdam,NLD,Netherlands,4.2901611328125,51.91864013671875,0.7944389716002195,0.7896296803358573,0.7988261712697307
DaresSalaam,TZA,United Republic of Tanzania,39.2486572265625,-6.89117431640625,0.7942353962159459,0.7895348845653967,0.7993873645287398
Durban,ZAF,South Africa,31.0198974609375,-29.89105224609375,0.7942257541578158,0.7937214942396835,0.7948363079608526
Berlin,DEU,Germany,13.371734619140623,52.52838134765625,0.7940744550343514,0.7913849936788503,0.7978772503236213
Cologne,DEU,Germany,6.963958740234375,50.94772338867188,0.7932881440169403,0.791910270409406,0.7945621126878689
Sydney,AUS,Australia,150.53604125976562,-33.572845458984375,0.7930787479281928,0.7867926496738727,0.8027224237122953
Brazilia,BRA,Brazil,-48.203887939453125,-15.7763671875,0.7924913024516848,0.778803429166735,0.8017494654333555
Shanghai,CHN,China,121.40167236328124,31.271209716796875,0.791276560574127,0.7868803235734,0.7950843287986359
Madrid,ESP,Spain,-4.030609130859375,40.726318359375,0.790437653718978,0.7883643620764477,0.7915201925856724
Melbourne,AUS,Australia,145.17196655273438,-38.019561767578125,0.7903114666120463,0.7858104676053937,0.7948545649018948
Antananarivo,MDG,Madagascar,47.51998901367188,-18.91571044921875,0.7902600451437154,0.7890587249285951,0.791749842315817
Hanoi,VNM,Vietnam,105.7818603515625,20.996246337890625,0.7901055667875871,0.7852586845251948,0.7935935032265586
Tshwane,ZAF,South Africa,28.25408935546875,-25.742340087890625,0.7899325485907305,0.7872197366080615,0.7920367665200405
London,GBR,United Kingdom,-0.098876953125,51.47232055664063,0.7891324583457493,0.785410681341151,0.795187735748897
Jakarta,IDN,Indonesia,106.85028076171876,-6.252593994140625,0.7890205469315194,0.7866424956439526,0.7916438371479717
Birmingham,GBR,United Kingdom,-1.85394287109375,52.499542236328125,0.7878982255674671,0.7868821578384932,0.7887695841073306
Hamburg,DEU,Germany,9.30267333984375,53.66134643554688,0.7878647194553176,0.7854406947573676,0.7912029148809768
Utrecht,NLD,Netherlands,5.082550048828125,52.08755493164063,0.7876408469669247,0.7830347140656371,0.7922261486254878
Santiago,CHL,Chile,-70.7080078125,-33.3709716796875,0.7870821555773736,0.7825676051419749,0.790010190886256
Habana,CUB,Cuba,-82.14202880859375,23.0987548828125,0.7868275661653078,0.7846216180591229,0.7897905839361913
Delhi,IND,India,77.1075439453125,28.63861083984375,0.7863116785131634,0.7833826078110403,0.7909828888905465
Nice,FRA,France,7.26470947265625,43.713226318359375,0.7862447308449063,0.7840082315692651,0.7883309620472572
Sheffield,GBR,United Kingdom,-1.5545654296875,53.3935546875,0.7862443510946445,0.7835652414508447,0.7891217728250568
Mumbai,IND,India,72.88467407226562,19.0777587890625,0.7851298594812698,0.7841231101043058,0.7867865806531047
Seoul,KOR,South Korea,126.98410034179688,37.56500244140625,0.7849840718451713,0.781675637626269,0.7882365202946751
Porto,PRT,Portugal,-8.664093017578125,41.15890502929688,0.7845696220150348,0.782194344692436,0.7869689183457814
Venice,ITA,Italy,12.3046875,45.46966552734375,0.784011948293185,0.7787088794738769,0.7881272322689923
Munich,DEU,Germany,11.5521240234375,48.162689208984375,0.7839692085067923,0.7798794047935464,0.7885548753025353
Abidjan,CIV,Ivory Coast,-4.00726318359375,5.33935546875,0.783534149630872,0.7799981054989619,0.7862404158645994
Edmonton,CAN,Canada,-113.4942626953125,53.55148315429688,0.7834772874135623,0.7788555846810056,0.7882764672234762
Mombasa,KEN,Kenya,39.67300415039063,-4.027862548828125,0.7829696426589773,0.780245139755159,0.7845078235984736
LungsodQuezon,PHL,Philippines,121.06796264648438,14.651641845703123,0.7825618768140313,0.7802655749144922,0.784045185010923
Amsterdam,NLD,Netherlands,4.895782470703125,52.348480224609375,0.7819357022455821,0.7780692602364506,0.7851733114528103
Lisboa,PRT,Portugal,-9.147491455078123,38.74191284179688,0.7817961350559944,0.7791972422100464,0.7837593575581607
Lagos,NGA,Nigeria,3.26568603515625,6.5423583984375,0.7817949842715602,0.7800667608856813,0.7834611423708032
Sevilla,ESP,Spain,-5.91888427734375,37.371368408203125,0.7815641835735482,0.7778750621634433,0.7848477236960812
Bordeaux,FRA,France,-0.583648681640625,44.8626708984375,0.7812537104268064,0.7770633836513922,0.7837522237423611
Detroit,USA,United States of America,-83.19671630859375,42.23419189453125,0.7810875371137499,0.7787691413955992,0.7841947680274309
Montreal,CAN,Canada,-73.72650146484375,45.53146362304688,0.7810438133930729,0.7778847810149389,0.7845774031499162
Leeds,GBR,United Kingdom,-1.5545654296875,53.809661865234375,0.7799634513323404,0.7775791000767429,0.7818753735620505
Newyork,USA,United States of America,-73.9544677734375,40.70159912109375,0.7799457957208432,0.7782826856649331,0.7828863972698681
Auckland,NZL,New Zealand,174.77325439453125,-36.876983642578125,0.778969159386047,0.7745746065135428,0.7852972716739532
Colombo,LKA,Sri Lanka,79.87197875976562,6.9927978515625,0.7788139972583425,0.7783563338821939,0.7792497201522326
Braga,PRT,Portugal,-8.499298095703125,41.535186767578125,0.7781808213184123,0.7772663908615394,0.7787404651171741
Torino,ITA,Italy,7.63275146484375,45.05905151367188,0.7781307151321322,0.7764019357549812,0.780136120466147
Bradford,GBR,United Kingdom,-1.869049072265625,53.82614135742188,0.7781122300519933,0.7761043377371848,0.7800604006326922
Denhaag,NLD,Netherlands,4.335479736328125,52.04635620117188,0.778104537616153,0.7742103406364513,0.7806060686949954
Nottingham,GBR,United Kingdom,-1.165924072265625,52.9376220703125,0.7770753628153774,0.7756787573013,0.7782577087528658
Maputo,MOZ,Mozambique,32.540130615234375,-25.850830078125,0.7751043633236243,0.7718685036404827,0.7779680154809218
Manchester,GBR,United Kingdom,-2.23297119140625,53.43475341796875,0.7749003220718906,0.7740501622727832,0.7753996016662227
Toronto,CAN,Canada,-79.365234375,43.71871948242188,0.774625578544475,0.7677485564521997,0.7805242996407848
Surabaya,IDN,Indonesia,112.72796630859376,-7.274322509765625,0.7735752477824335,0.7712296283995841,0.7762006445615494
Canberra,AUS,Australia,149.00894165039062,-35.3155517578125,0.7735488464791854,0.7571819901257045,0.7918150223670638
Chennai,IND,India,80.25100708007812,13.0242919921875,0.7731030800778992,0.7689940419448994,0.7783449859383771
Bristol,GBR,United Kingdom,-2.605133056640625,51.46270751953125,0.7723450286787404,0.7715705680637445,0.7733665191678436
Lyon,FRA,France,4.85321044921875,45.753936767578125,0.7716270434773639,0.7704062691794168,0.7723677488352201
Vancouver,CAN,Canada,-122.93838500976562,49.273681640625,0.7714036698929183,0.7524976590070546,0.782110077863308
SantiagodeCuba,CUB,Cuba,-75.816650390625,20.0115966796875,0.7709650468760287,0.7677570410681459,0.7727218680927148
NewOrleans,USA,United States of America,-89.97528076171875,30.03387451171875,0.7702587616569675,0.7686097754887323,0.7719027245722485
Barcelona,ESP,Spain,1.79901123046875,41.801605224609375,0.7697831493132353,0.7676182443061749,0.7718735672617294
Washingtondc,USA,United States of America,-77.01141357421875,38.8861083984375,0.7683549021539972,0.7610905734543271,0.772271915112578
Vientiane,LAO,Laos,102.67135620117188,17.9681396484375,0.7666586063178183,0.765286231000138,0.7685509897856675
Dublin,IRL,Ireland,-6.263580322265625,53.337249755859375,0.7654939439024234,0.7622680282454085,0.7678744711769423
Holguin,CUB,Cuba,-76.31927490234375,20.913848876953125,0.765490493489409,0.7634974428043836,0.7666043042171303
Edinburgh,GBR,United Kingdom,-3.2574462890625,55.931396484375,0.7654417797147142,0.7646097698829996,0.7665040661401478
Arusha,TZA,United Republic of Tanzania,36.66549682617188,-3.39752197265625,0.7648615551923775,0.7638400582865515,0.7657106827925861
Beria,MOZ,Mozambique,34.803314208984375,-19.75341796875,0.7645519890896512,0.7629051510331044,0.7659262707975883
Marseille,FRA,France,5.414886474609375,43.30810546875,0.7621696803298272,0.7611441068625185,0.7637933462756339
Luanda,AGO,Angola,13.348388671875,-8.85498046875,0.761849205328744,0.7287457120200087,0.7792553047342499
Wellington,NZL,New Zealand,174.74990844726562,-41.252288818359375,0.7617331309741587,0.7573438530689328,0.763949505027546
Philadelphia,USA,United States of America,-75.11627197265625,40.00259399414063,0.7615018940476546,0.7601042877994185,0.7626210245597741
Iloilo,PHL,Philippines,122.54837036132812,10.729522705078123,0.7611724512955268,0.7573050231238758,0.7649301981942825
Valencia,ESP,Spain,-0.377655029296875,39.480743408203125,0.7605504396520608,0.7578683277408786,0.7632490563410708
Glasgow,GBR,United Kingdom,-4.229736328125,55.84762573242188,0.7599941893001655,0.7594234380460038,0.7608068210552432
Valdivia,CHL,Chile,-73.32962036132812,-39.77325439453125,0.759639921748713,0.7588122067019917,0.7605465478960353
Manila,PHL,Philippines,120.99655151367188,14.5843505859375,0.7595359289762286,0.7589848332626273,0.7603257935269442
Melaka,MYS,Malaysia,102.227783203125,2.234344482421875,0.7590512009079101,0.7567922751281974,0.7617689190952025
Sansalvador,SLV,El Salvador,-89.20761108398438,13.8372802734375,0.7588399245472344,0.757494626342132,0.7608647469848736
Boston,USA,United States of America,-71.0540771484375,42.34130859375,0.7587790615838838,0.7540921469262736,0.7627818007085393
Setobal,PRT,Portugal,-8.919525146484375,38.52630615234375,0.7579506875174373,0.7442221904292853,0.768268622716817
Dakar,SEN,Senegal,-17.461395263671875,14.6942138671875,0.757849840863833,0.7559589267669548,0.7589627418335685
Dodoma,TZA,United Republic of Tanzania,35.748138427734375,-6.1578369140625,0.757118674631541,0.7565055785893371,0.7580556943980835
Abuja,NGA,Nigeria,7.334747314453125,8.963470458984375,0.755601187226759,0.746710438555019,0.7618930315647847
Kisumu,KEN,Kenya,34.709930419921875,-0.07965087890625,0.7550601253915631,0.7525022085099375,0.7576272211423403
LuangPrabang,LAO,Laos,102.1343994140625,19.881134033203125,0.753421907384309,0.7502865037257568,0.756160493233438
Miami,USA,United States of America,-80.27572631835938,25.73272705078125,0.7523163987506715,0.7300070604603567,0.7650620984695241
Quebec,CAN,Canada,-71.36032104492188,46.845703125,0.7519956229658344,0.7499856332544625,0.7553068634543214
Swakopmund,NAM,Namibia,14.558258056640623,-22.649688720703125,0.7502396246557442,0.746101998073864,0.7524667263468481
Arequipa,PER,Peru,-71.94259643554688,-16.195220947265625,0.7478558981821574,0.7429705935422352,0.7523383296382623
Kisangani,COD,Democratic Republic of the Congo,25.193023681640625,0.5218505859375,0.7470214088298008,0.7453949439413945,0.7488052897457096
Paris,FRA,France,2.305755615234375,48.84796142578125,0.7465850839280722,0.7462945743691878,0.7468111930609684
Kano,NGA,Nigeria,8.510284423828125,11.97509765625,0.7450961866088556,0.7441333500172994,0.7460422186616775
Cusco,PER,Peru,-71.9769287109375,-13.484344482421877,0.744462748206035,0.7432203351752662,0.7461481865642051
Windhoek,NAM,Namibia,17.008209228515625,-22.54119873046875,0.7436110788344168,0.7421695654055802,0.7464180302152534
Cabinda,AGO,Angola,12.227783203125,-5.362701416015625,0.74125003632036,0.7392555504314191,0.7438868062711844
Yamoussoukro,CIV,Ivory Coast,-5.284423828125,6.793670654296875,0.7410747676075818,0.738479669068992,0.7428856952529365
Praia,CPV,Cabo Verde,-23.53271484375,14.93865966796875,0.7386828900070936,0.736957293421022,0.739966461394153
Galle,LKA,Sri Lanka,80.22628784179688,6.03973388671875,0.7312672944419686,0.7291285276441606,0.7333871774930645
